WKVSFAM,HRSRELAX,LEARNNEW,WORKFAST,WORKDIFF,LOTOFSAY,KNOWWHAT,MYSKILLS,RESPECT,TRUSTMAN,SAFETYWK,WKDECIDE,SETTHNGS,PROMTEOK,WKFREEDM,JOBSECOK,TRAINOPS,WKPRAISE,FAIREARN,HEALTH1,satisfaction
1,6,4,4,2,3,1,4,1,4,4,4,4,4,2,1,4,3,2,1,4
4,6,3,3,2,2,1,2,1,1,2,2,2,3,1,1,1,1,3,3,1.5
4,98,4,3,1,3,1,1,1,1,8,4,3,4,1,2,1,1,3,4,4.5
4,5,1,2,1,1,1,1,1,2,2,1,1,1,2,3,1,1,4,3,1.5
3,4,2,3,1,1,1,2,1,9,2,2,3,4,1,3,2,3,3,1,2
3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2.5
4,4,1,1,1,2,2,2,1,3,2,1,1,2,1,1,1,1,3,1,2.5
3,4,2,2,2,3,3,2,3,4,2,4,4,4,3,4,1,2,3,3,3
2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1
3,2,2,2,2,3,1,2,2,2,2,1,1,4,1,1,1,1,3,2,2
2,1,2,2,2,2,2,3,3,4,4,2,2,3,3,4,3,2,1,4,4
2,0,1,1,1,2,1,1,2,3,4,1,1,4,1,1,2,3,3,3,2.5
2,3,2,2,3,3,2,2,3,4,1,2,2,2,2,2,2,3,3,3,3
4,6,1,3,2,1,1,2,1,1,1,1,1,3,1,1,2,2,8,1,2
3,3,3,2,1,2,1,3,2,2,2,3,1,3,3,1,2,2,3,2,2.5
3,4,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,2,4,1,2.5
3,2,2,3,2,2,2,2,2,1,2,2,2,2,1,2,2,2,3,3,2
3,7,1,2,1,2,1,2,2,3,3,1,3,4,2,2,2,3,2,1,3
2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,2,2.5
1,4,1,2,1,2,2,2,2,2,2,1,1,4,2,1,2,3,2,1,2
2,2,2,2,2,3,2,2,2,3,3,2,2,2,2,3,3,2,3,4,2.5
4,3,1,1,1,1,2,1,2,2,2,3,3,2,1,1,1,2,2,1,1.5
3,10,1,1,1,3,3,3,3,2,3,2,2,2,2,2,2,2,3,3,2
2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2
4,98,2,2,1,3,1,2,2,2,1,2,2,2,2,1,1,1,2,1,2.5
4,4,2,3,2,3,1,1,1,1,1,2,2,1,1,1,1,2,3,4,2.5
4,2,2,3,1,2,1,1,1,1,1,2,1,4,1,1,1,1,3,2,2
2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,3,1,1.5
2,1,1,1,2,4,1,4,2,3,1,3,3,2,4,1,1,2,8,4,3
2,4,2,3,3,2,1,1,1,2,1,1,2,2,3,1,1,1,2,1,2
3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1.5
3,6,2,3,2,2,2,2,2,2,2,1,1,3,2,2,2,2,3,1,2
2,1,2,3,3,3,1,1,1,1,1,2,2,2,1,2,1,1,3,1,2.5
1,6,1,3,1,1,1,1,1,1,1,4,4,2,2,2,2,1,2,1,2
1,6,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,3,2,1.5
2,6,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,3,2,1
4,6,2,2,2,2,2,2,2,3,2,2,2,3,1,8,2,1,3,1,2
4,3,2,2,2,3,2,3,2,2,2,1,2,2,3,1,2,3,2,3,2
4,6,4,3,1,1,1,1,1,1,3,2,2,4,1,1,1,1,4,4,2.5
2,6,1,2,1,3,2,2,2,2,2,2,3,2,2,2,1,1,3,4,2
1,1,1,1,1,1,1,1,1,4,8,1,1,3,1,1,4,2,1,3,2
3,2,2,3,1,3,1,2,2,3,1,1,1,2,2,2,2,3,2,3,3
4,5,2,3,2,2,2,2,2,2,2,2,2,1,1,2,2,1,3,1,3
3,3,2,3,2,3,2,3,2,3,2,2,3,2,1,1,1,3,3,3,4
3,2,2,2,3,3,1,2,1,2,2,1,2,4,3,2,2,3,2,2,2.5
3,3,1,2,2,2,1,1,1,1,1,2,3,2,2,3,2,2,2,3,3
2,4,1,1,1,2,2,2,2,1,2,1,1,1,2,2,2,1,3,2,2
1,4,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2.5
2,8,2,2,1,2,2,1,2,2,2,2,1,3,2,4,2,1,2,3,2
4,4,2,3,2,2,2,1,1,2,2,3,1,3,2,1,2,2,3,1,1.5
4,5,4,1,4,4,2,3,3,3,3,4,4,2,2,3,3,2,1,2,4
3,2,2,3,2,2,1,1,1,1,1,1,1,2,1,1,1,1,3,4,2.5
3,15,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2
4,5,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3,2,1
4,6,2,3,2,2,3,2,2,3,2,2,3,4,4,3,2,2,3,4,2.5
4,4,2,3,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1.5
4,6,4,1,1,1,1,1,3,4,1,2,1,4,4,3,4,3,3,1,3
2,4,2,3,2,2,2,2,2,2,2,1,1,1,1,2,1,3,3,4,2.5
2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,4,1,2.5
1,3,1,2,2,1,1,1,2,3,2,2,1,4,1,1,1,2,3,1,1.5
4,0,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,4,1.5
2,3,1,2,1,1,1,2,1,2,1,2,2,2,1,1,1,3,3,1,2
2,5,2,3,3,3,2,3,3,3,2,3,3,3,3,2,2,2,3,3,2.5
2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2.5
4,2,1,1,1,1,1,1,2,2,2,2,2,3,2,1,1,2,3,2,1.5
2,2,2,2,2,3,2,2,2,2,2,2,2,1,2,1,2,1,3,2,2.5
1,3,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,3,3
2,5,1,1,1,2,2,1,2,4,2,1,1,2,2,1,1,2,3,3,2.5
3,2,2,4,1,1,2,2,2,2,1,1,1,2,1,1,1,1,4,2,2
2,3,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,2,2
3,6,1,1,1,2,3,2,4,4,4,2,2,2,3,1,2,2,3,5,3.5
2,2,2,2,2,3,2,2,2,2,2,3,1,1,2,2,1,1,1,3,1.5
3,5,2,3,2,3,2,3,3,3,2,2,3,2,2,2,1,3,3,3,2.5
2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,4,3,2
2,2,2,1,3,3,1,3,2,3,2,2,1,1,1,1,2,2,2,2,3
2,4,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,3,3,1.5
4,3,1,3,2,3,2,2,2,2,2,2,2,2,1,1,1,1,3,3,2
3,4,1,4,1,2,1,1,2,1,2,3,3,3,2,1,1,2,3,3,3
2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2,4,2.5
2,7,1,2,3,2,1,1,1,2,1,1,2,2,1,2,1,1,2,3,3
4,1,3,3,2,3,1,1,1,1,1,2,2,2,1,1,1,1,3,4,2
4,4,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,3,2
3,2,2,3,2,3,2,2,2,2,2,1,3,4,1,2,1,1,3,1,1.5
2,98,1,2,1,2,1,2,1,1,1,2,2,3,1,1,1,1,2,3,3
4,10,1,4,2,1,1,1,1,1,1,3,2,4,1,1,1,1,3,1,2.5
4,4,3,2,1,2,1,1,1,1,1,3,2,4,2,1,1,1,3,1,2
4,5,1,2,2,2,3,1,1,3,1,2,2,1,1,2,3,3,8,1,2.5
2,4,2,3,2,2,1,2,2,3,2,1,1,1,2,1,1,1,3,3,1.5
2,8,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,3,1.5
4,2,2,3,2,3,2,2,2,2,2,2,2,1,4,1,1,2,3,3,2.5
2,4,2,3,1,2,2,2,2,2,2,1,2,1,1,1,1,1,3,1,2
4,4,1,1,1,4,2,1,4,4,1,2,1,2,1,3,2,1,2,2,2.5
4,4,3,3,3,2,2,3,2,2,2,2,2,1,1,2,1,2,3,3,2.5
2,4,2,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,4,1,2
2,2,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,1.5
2,5,2,2,2,2,1,2,1,2,2,2,3,4,2,3,3,2,2,2,2.5
1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,3,1,2
4,6,2,2,2,2,2,2,2,2,2,4,4,1,1,1,1,1,3,3,1.5
3,98,2,2,2,2,2,2,2,3,2,1,1,2,2,2,2,1,2,1,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2
4,4,1,4,1,2,1,1,1,2,1,1,2,2,1,2,1,1,3,2,2
2,2,1,3,2,1,1,1,1,2,2,3,3,3,1,1,1,1,3,2,2
1,12,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,3,4,2
2,1,1,2,2,2,2,2,2,3,2,2,2,3,1,1,1,3,2,2,1.5
2,1,1,3,1,1,2,1,1,1,1,1,1,4,2,1,1,1,3,1,1.5
1,2,2,1,2,1,2,2,2,2,2,3,1,2,1,3,2,1,3,3,1.5
4,2,2,1,2,2,1,2,2,3,3,2,2,2,4,1,2,2,3,4,3.5
3,4,1,3,1,1,1,1,2,3,2,4,3,4,1,4,1,3,3,2,2.5
2,2,2,2,2,1,1,2,2,3,3,3,2,2,2,1,2,2,3,1,2.5
4,6,1,2,1,3,1,2,1,2,1,2,2,1,1,2,1,1,2,3,3
1,0,1,2,2,3,3,2,2,3,2,3,3,3,3,3,2,2,2,3,2
2,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,4,2,2
2,5,1,1,1,4,2,2,4,4,4,3,3,4,4,4,1,3,1,3,3.5
1,2,1,2,1,2,2,2,2,2,1,2,3,2,2,2,2,1,2,1,2.5
3,2,2,3,1,2,2,2,2,2,1,2,2,2,2,1,1,2,3,1,2
1,2,2,2,2,2,2,2,2,2,2,1,1,4,1,1,2,3,2,2,2.5
2,3,3,3,2,3,2,3,3,3,3,1,2,3,1,2,3,2,3,3,3.5
3,6,1,1,1,2,2,1,2,2,2,2,1,2,2,1,1,1,3,1,3
3,3,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,2,2
2,2,2,3,3,1,2,3,2,2,2,1,1,2,1,2,2,3,1,4,2.5
3,3,1,2,1,1,2,1,1,2,1,1,1,1,2,2,1,2,2,1,2
3,2,3,2,2,3,2,2,2,2,1,3,3,4,2,2,2,2,3,1,2
4,2,1,2,1,2,2,2,2,2,2,1,1,4,1,1,2,3,1,1,2
2,6,2,2,2,2,2,2,2,2,2,1,1,9,1,1,1,1,3,1,2
3,4,1,1,1,1,1,1,1,3,2,1,1,2,1,1,3,2,4,1,1
1,2,2,2,2,2,2,2,2,2,2,3,1,3,1,3,2,3,1,4,3
3,3,1,3,2,1,2,2,1,1,1,1,1,2,1,2,2,1,3,1,2.5
3,3,1,1,2,3,2,1,2,4,2,3,2,2,3,3,3,1,3,5,2
3,4,1,2,1,2,1,1,2,4,4,3,3,2,1,2,1,3,1,2,3
3,5,2,3,1,3,1,1,1,4,3,4,2,3,1,4,3,3,2,2,2.5
4,0,1,2,1,2,1,2,1,2,1,1,1,2,2,2,2,1,3,3,2.5
3,5,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1
3,1,1,2,3,3,1,2,2,3,2,1,1,3,1,4,1,1,2,3,3
2,6,2,2,2,1,1,2,2,3,1,3,3,2,1,2,3,2,3,3,1.5
4,0,2,1,1,2,2,2,3,1,1,1,1,1,3,2,2,1,3,3,2.5
3,5,1,2,2,2,2,2,2,3,2,2,2,2,1,1,3,1,3,3,3
4,4,2,1,2,3,2,2,2,1,1,3,1,2,1,1,1,3,3,2,3
1,0,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4
4,2,2,3,2,1,2,2,2,2,3,2,2,2,2,3,2,3,2,2,2.5
2,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,4,1,3,1,1
2,5,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,1,1
3,3,1,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1.5
2,4,2,2,2,2,2,2,2,2,2,1,1,1,1,3,2,1,4,3,2.5
1,1,1,3,1,1,2,1,1,1,1,2,2,2,1,1,1,1,3,1,4.5
4,6,2,4,4,3,1,1,1,3,3,2,3,8,2,1,3,3,1,3,2.5
2,0,2,2,3,2,2,3,2,1,1,1,1,4,1,1,1,1,1,2,3.5
2,2,1,1,1,1,2,1,2,3,4,1,2,4,2,4,1,1,3,4,2
3,4,2,2,2,2,2,2,2,2,3,1,2,1,1,2,1,2,1,3,2.5
4,4,2,2,3,2,2,2,1,2,2,2,3,3,1,1,3,1,3,2,3
4,2,1,2,2,2,2,2,2,2,1,2,2,2,3,1,1,1,2,2,2.5
4,5,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,2,1
4,3,4,4,3,2,4,4,1,2,2,2,3,2,1,2,3,1,3,3,4
3,5,2,2,2,3,2,2,3,3,3,4,4,2,2,2,4,3,1,2,2.5
4,2,1,2,2,1,1,1,1,1,1,4,4,4,1,1,8,8,2,4,2.5
2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2.5
2,2,3,2,2,2,2,2,3,3,2,3,3,3,1,3,2,3,1,2,3
3,7,2,3,2,1,2,2,1,1,1,1,1,1,1,1,1,2,3,2,2.5
4,2,1,3,2,2,2,2,1,1,1,2,2,4,1,1,1,1,3,2,1.5
4,7,3,1,3,1,2,2,1,2,2,2,1,3,1,1,1,3,3,3,3
3,0,1,1,1,3,1,3,3,3,2,3,2,1,2,1,3,3,3,1,2
4,3,2,2,3,2,1,2,2,2,2,3,1,4,1,1,1,1,2,3,2.5
3,2,2,2,2,3,2,2,2,3,2,2,2,2,1,1,1,2,2,4,4
2,5,2,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,2,1,1.5
2,2,2,2,1,1,2,2,2,3,2,1,1,3,1,2,2,1,3,1,2
2,4,2,3,1,1,2,2,2,3,1,1,1,4,1,2,1,1,3,1,3
1,98,1,1,1,2,2,1,2,2,1,1,1,2,2,1,1,2,3,1,2
4,5,3,2,3,3,1,2,2,2,1,2,3,2,2,1,1,1,2,3,3
3,3,2,3,1,3,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1
3,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1.5
3,4,1,1,2,1,1,1,1,1,1,2,2,4,1,1,1,1,3,1,1.5
4,3,2,3,3,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2
4,8,1,3,1,1,1,1,1,1,2,3,3,1,1,1,1,1,3,1,1
1,0,1,1,2,1,3,2,2,2,2,3,2,1,4,4,4,2,5,5,4
3,1,4,4,4,2,1,1,2,2,2,2,4,4,1,1,1,2,3,2,2.5
1,2,4,1,2,4,1,4,2,3,2,1,1,4,4,4,2,1,1,3,3.5
3,4,2,3,2,2,2,2,2,2,2,1,1,4,1,1,2,1,3,3,1.5
3,6,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,2,3,2,3
3,2,3,2,2,2,3,2,2,2,2,1,2,4,2,3,2,3,1,3,3
3,5,1,4,1,1,1,1,1,2,2,2,2,2,1,2,2,3,3,5,1
3,1,1,1,1,1,1,1,1,1,1,3,2,4,1,3,1,1,3,3,1
2,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,1,2
4,5,2,2,2,3,1,3,2,3,2,4,2,3,3,3,1,1,2,3,2.5
2,7,3,3,3,2,2,3,2,2,2,3,3,4,2,4,2,3,8,2,2.5
3,0,1,2,1,2,2,1,2,1,2,1,2,2,1,2,1,2,2,2,2
2,3,2,2,3,2,2,3,2,3,2,1,1,2,1,1,2,1,3,5,1.5
3,1,1,2,1,1,1,1,2,2,1,2,2,4,2,3,1,1,1,2,2
4,4,2,2,3,2,2,2,2,2,2,1,1,2,2,2,2,1,3,3,2.5
4,6,3,3,3,3,1,3,2,2,2,2,3,3,2,2,2,3,2,3,2.5
2,2,2,3,2,3,2,2,2,2,2,2,2,3,1,3,2,3,2,3,3
3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,1,2
4,7,2,2,2,2,2,2,2,3,2,2,1,4,1,1,1,1,5,1,2
4,3,3,2,3,2,1,2,2,2,2,3,3,4,1,1,1,3,3,2,2
4,3,2,3,2,2,2,1,2,2,1,1,1,1,1,1,1,1,3,2,1
4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3
1,2,4,1,2,4,1,4,4,3,4,4,4,4,4,4,4,3,1,1,4
3,1,2,3,2,3,1,1,1,1,2,2,2,4,2,1,1,1,2,2,2
3,4,1,3,2,2,1,2,1,1,2,1,2,2,1,2,1,2,4,3,2.5
2,3,1,3,1,1,1,1,4,2,2,1,1,2,1,1,1,1,3,3,1.5
2,5,1,2,1,2,1,1,2,1,1,1,1,2,1,1,3,3,1,2,2
4,0,3,3,3,3,2,2,2,2,2,2,2,2,3,2,1,2,3,1,1.5
4,4,2,2,2,3,2,2,2,2,3,3,1,4,2,2,1,1,2,4,3
3,3,2,1,2,4,2,2,2,2,2,3,2,4,4,3,2,3,2,2,4
1,2,1,3,1,1,1,1,2,2,2,1,1,2,1,1,1,1,3,2,1
2,6,2,3,2,4,2,1,2,1,1,3,3,3,3,1,1,1,2,3,2.5
3,0,1,1,3,2,1,1,1,1,1,1,2,8,1,8,8,3,3,3,3
3,3,2,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,3,2
1,2,1,8,1,1,1,1,1,1,1,4,8,8,1,8,1,8,2,2,1
2,1,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,2,2,1,2
4,4,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,3,1,1.5
2,4,1,1,1,2,3,2,2,3,3,1,1,3,2,1,2,1,2,2,2.5
1,1,2,3,1,1,2,1,1,2,1,1,1,8,1,1,1,8,3,3,1
3,2,1,1,1,1,1,1,1,1,1,1,3,2,1,1,2,2,2,3,2.5
4,1,2,3,3,4,1,2,1,1,1,4,4,3,3,2,1,2,2,2,2.5
4,3,1,2,2,2,2,2,2,2,2,2,1,4,1,4,1,1,3,1,2
1,2,2,3,1,3,1,2,3,4,2,3,1,4,2,2,2,3,1,1,1.5
3,12,4,4,4,2,2,2,1,1,2,4,3,4,2,4,1,3,2,2,1.5
4,3,2,2,2,3,1,3,1,1,1,2,2,1,1,1,1,3,3,2,2
4,0,2,3,3,2,2,3,2,2,2,4,1,8,1,4,1,1,2,1,2.5
4,3,2,2,2,1,1,2,1,1,1,3,1,1,2,1,1,1,3,1,2
1,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,3,1,1,1
3,0,2,2,1,3,2,2,2,2,1,2,2,3,3,1,1,1,3,1,2.5
1,2,1,2,2,1,2,1,1,1,1,1,1,4,1,1,1,3,3,1,1.5
2,3,1,1,1,1,2,1,1,1,1,1,3,4,1,4,1,1,3,1,2.5
2,3,1,3,2,1,1,1,1,1,1,2,1,4,1,1,1,8,1,1,1.5
1,4,1,2,2,2,2,2,2,2,2,1,1,2,3,1,1,2,2,2,1.5
3,0,2,2,2,3,1,1,1,1,2,2,1,2,2,2,1,1,2,2,1
1,1,3,2,2,3,2,1,1,3,3,2,1,4,4,4,2,3,1,3,2.5
3,1,1,3,1,2,1,1,1,1,2,3,3,4,1,2,2,3,1,3,3
4,5,4,2,1,1,1,1,1,1,1,1,1,4,1,4,2,2,5,4,2
4,4,1,3,1,1,1,1,1,1,1,4,4,4,1,8,1,1,2,1,3
3,6,4,1,3,4,2,4,3,3,3,4,4,4,4,3,4,2,2,2,4
1,2,1,1,2,3,1,1,1,1,3,3,3,4,3,1,1,1,1,4,2.5
4,98,3,4,2,2,2,1,1,4,3,3,1,4,1,2,1,2,2,3,2.5
4,98,4,3,2,3,1,2,1,2,1,3,2,4,2,3,1,2,3,2,3
4,2,1,3,1,2,1,1,1,1,1,3,2,4,1,1,1,1,1,1,1.5
4,5,4,4,1,4,1,1,1,2,1,1,1,2,1,3,1,1,2,3,2.5
3,2,4,2,2,2,1,2,1,1,1,1,1,3,2,2,1,2,3,1,3
2,2,1,1,3,4,2,3,2,3,3,2,3,3,2,4,1,3,1,3,3
4,3,1,3,1,1,3,1,1,1,1,1,1,4,1,2,2,8,3,2,3
2,0,1,3,1,1,1,1,2,2,2,3,3,2,1,4,1,1,3,2,2
3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,3,1,2
2,1,2,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,2,3
2,5,2,3,2,1,2,2,2,1,1,2,1,2,1,1,1,1,4,2,2
2,1,1,3,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2.5
3,4,1,3,2,2,2,1,1,2,2,1,1,2,1,2,1,1,3,2,2
1,1,1,1,1,2,2,2,1,2,1,3,1,2,1,1,1,1,3,3,2
4,2,3,2,2,2,2,3,2,3,2,3,4,3,2,3,2,1,1,4,2.5
2,3,3,3,3,3,3,2,2,3,2,2,1,4,4,4,1,1,2,4,3
